# im ir ii xm ym wm hm lm rm
302 7 4 -0.038601 0.722720 56.100000 79.238653 40.172957 723.750000
303 7 4 -0.645194 0.327930 56.100000 79.238653 40.172957 723.750000
304 7 4 -0.606593 -0.394789 56.100000 79.238653 40.172957 723.750000
305 7 4 0.038601 -0.722720 56.100000 79.238653 40.172957 723.750000
306 7 4 0.645194 -0.327930 56.100000 79.238653 40.172957 723.750000
307 7 5 0.551496 0.468686 56.100000 79.238653 40.172957 723.750000
308 7 5 -0.130146 0.711952 56.100000 79.238653 40.172957 723.750000
309 7 5 -0.681642 0.243266 56.100000 79.238653 40.172957 723.750000
310 7 5 -0.551496 -0.468686 56.100000 79.238653 40.172957 723.750000
311 7 5 0.130146 -0.711952 56.100000 79.238653 40.172957 723.750000
312 7 5 0.681642 -0.243266 56.100000 79.238653 40.172957 723.750000
313 7 6 0.487453 0.534980 56.100000 79.238653 40.172957 723.750000
314 7 6 -0.219580 0.689637 56.100000 79.238653 40.172957 723.750000
315 7 6 -0.707033 0.154656 56.100000 79.238653 40.172957 723.750000
316 7 6 -0.487453 -0.534980 56.100000 79.238653 40.172957 723.750000
317 7 6 0.219580 -0.689637 56.100000 79.238653 40.172957 723.750000
318 7 6 0.707033 -0.154656 56.100000 79.238653 40.172957 723.750000
319 7 7 0.415503 0.592597 56.100000 79.238653 40.172957 723.750000
320 7 7 -0.305453 0.656135 56.100000 79.238653 40.172957 723.750000
321 7 7 -0.720956 0.063537 56.100000 79.238653 40.172957 723.750000
322 7 7 -0.415503 -0.592597 56.100000 79.238653 40.172957 723.750000
323 7 7 0.305453 -0.656135 56.100000 79.238653 40.172957 723.750000
324 7 7 0.720956 -0.063537 56.100000 79.238653 40.172957 723.750000
325 8 0 0.784438 0.047080 56.100000 76.215577 37.006383 785.850000
326 8 0 0.351447 0.702883 56.100000 76.215577 37.006383 785.850000
327 8 0 -0.432991 0.655804 56.100000 76.215577 37.006383 785.850000
328 8 0 -0.784438 -0.047080 56.100000 76.215577 37.006383 785.850000
329 8 0 -0.351447 -0.702883 56.100000 76.215577 37.006383 785.850000
330 8 0 0.432991 -0.655804 56.100000 76.215577 37.006383 785.850000
331 8 1 0.774055 0.135641 56.100000 76.215577 37.006383 785.850000
332 8 1 0.269559 0.738172 56.100000 76.215577 37.006383 785.850000
333 8 1 -0.504496 0.602531 56.100000 76.215577 37.006383 785.850000
334 8 1 -0.774055 -0.135641 56.100000 76.215577 37.006383 785.850000
335 8 1 -0.269559 -0.738172 56.100000 76.215577 37.006383 785.850000
336 8 1 0.504496 -0.602531 56.100000 76.215577 37.006383 785.850000
337 8 2 0.753707 0.222455 56.100000 76.215577 37.006383 785.850000
338 8 2 0.184201 0.763957 56.100000 76.215577 37.006383 785.850000
339 8 2 -0.569505 0.541501 56.100000 76.215577 37.006383 785.850000
340 8 2 -0.753707 -0.222455 56.100000 76.215577 37.006383 785.850000
341 8 2 -0.184201 -0.763957 56.100000 76.215577 37.006383 785.850000
342 8 2 0.569505 -0.541501 56.100000 76.215577 37.006383 785.850000
343 8 3 0.723654 0.306406 56.100000 76.215577 37.006383 785.850000
344 8 3 0.096472 0.779906 56.100000 76.215577 37.006383 785.850000
345 8 3 -0.627183 0.473500 56.100000 76.215577 37.006383 785.850000
346 8 3 -0.723654 -0.306406 56.100000 76.215577 37.006383 785.850000
347 8 3 -0.096472 -0.779906 56.100000 76.215577 37.006383 785.850000
348 8 3 0.627183 -0.473500 56.100000 76.215577 37.006383 785.850000
349 8 4 0.684285 0.386412 56.100000 76.215577 37.006383 785.850000
350 8 4 0.007500 0.785814 56.100000 76.215577 37.006383 785.850000
351 8 4 -0.676785 0.399402 56.100000 76.215577 37.006383 785.850000
352 8 4 -0.684285 -0.386412 56.100000 76.215577 37.006383 785.850000
353 8 4 -0.007500 -0.785814 56.100000 76.215577 37.006383 785.850000
354 8 4 0.676785 -0.399402 56.100000 76.215577 37.006383 785.850000
355 8 5 0.636106 0.461443 56.100000 76.215577 37.006383 785.850000
356 8 5 -0.081568 0.781605 56.100000 76.215577 37.006383 785.850000
357 8 5 -0.717674 0.320162 56.100000 76.215577 37.006383 785.850000
358 8 5 -0.636106 -0.461443 56.100000 76.215577 37.006383 785.850000
359 8 5 0.081568 -0.781605 56.100000 76.215577 37.006383 785.850000
360 8 5 0.717674 -0.320162 56.100000 76.215577 37.006383 785.850000
361 8 6 0.579737 0.530533 56.100000 76.215577 37.006383 785.850000
362 8 6 -0.169587 0.767333 56.100000 76.215577 37.006383 785.850000
363 8 6 -0.749324 0.236800 56.100000 76.215577 37.006383 785.850000
364 8 6 -0.579737 -0.530533 56.100000 76.215577 37.006383 785.850000
365 8 6 0.169587 -0.767333 56.100000 76.215577 37.006383 785.850000
366 8 6 0.749324 -0.236800 56.100000 76.215577 37.006383 785.850000
367 8 7 0.515904 0.592793 56.100000 76.215577 37.006383 785.850000
368 8 7 -0.255421 0.743182 56.100000 76.215577 37.006383 785.850000
369 8 7 -0.771326 0.150390 56.100000 76.215577 37.006383 785.850000
370 8 7 -0.515904 -0.592793 56.100000 76.215577 37.006383 785.850000
371 8 7 0.255421 -0.743182 56.100000 76.215577 37.006383 785.850000
372 8 7 0.771326 -0.150390 56.100000 76.215577 37.006383 785.850000
373 8 8 0.445429 0.647420 56.100000 76.215577 37.006383 785.850000
374 8 8 -0.337968 0.709463 56.100000 76.215577 37.006383 785.850000
375 8 8 -0.783397 0.062043 56.100000 76.215577 37.006383 785.850000
376 8 8 -0.445429 -0.647420 56.100000 76.215577 37.006383 785.850000
