AU 79  196.967 706
 2305  36.9617  21.4784
 2310  36.5778  21.8761
 2315  35.9795  22.0744
 2320  35.2904  23.3464
 2325  35.0279  24.5113
 2330  35.3701  26.5
 2335  36.4235  27.5154
 2340  37.5253  28.3368
 2345  38.4117  28.4065
 2350  38.988  28.7257
 2355  39.661  29.1296
 2360  40.0949  29.0613
 2365  40.4729  29.6374
 2370  41.2825  30.1604
 2375  42.1997  30.0968
 2380  42.7211  29.7825
 2390  43.2848  29.8701
 2400  43.9676  30.1531
 2410  44.7915  30.2517
 2420  45.6264  30.3987
 2430  46.3711  30.0955
 2440  46.7293  29.9068
 2450  47.0795  30.0104
 2460  47.588  30.2209
 2470  48.1265  30.0953
 2480  48.5999  30.2073
 2490  49.1771  30.1297
 2500  49.6242  29.934
 2510  49.9268  29.7243
 2520  50.098  29.6467
 2530  50.3693  29.761
 2540  50.7568  29.8216
 2550  51.2088  29.7469
 2560  51.5396  29.5667
 2570  51.8508  29.4474
 2580  52.0714  29.2483
 2590  52.2419  29.0804
 2600  52.3126  29.0014
 2610  52.5325  29.0098
 2620  52.7297  28.9059
 2630  52.6004  28.4695
 2640  52.5201  29.0275
 2650  52.9392  29.1857
 2660  53.2562  29.0391
 2670  53.4162  28.8747
 2680  53.4628  28.7642
 2690  53.4951  28.6889
 2700  53.4811  28.6482
 2710  53.4457  28.5653
 2720  53.2223  28.4715
 2730  52.7713  28.4443
 2735  52.252  28.5401
 2740  51.4858  28.9205
 2745  51.3036  30.479
 2750  52.1564  31.5437
 2755  52.9767  31.5357
 2760  53.3775  31.5947
 2765  53.6307  31.6725
 2770  54.0875  32.075
 2775  54.6471  32.0035
 2780  54.998  31.7835
 2785  55.1084  31.6867
 2790  55.3148  31.8416
 2795  55.6531  31.9335
 2800  56.0286  31.8024
 2805  56.2499  31.6816
 2810  56.4783  31.5694
 2815  56.5899  31.4307
 2820  56.7105  31.35
 2825  56.749  31.3351
 2830  56.8951  31.3315
 2850  57.583  31.5644
 2870  58.3964  31.2695
 2890  58.9237  30.9601
 2910  59.4023  30.8273
 2930  59.9176  30.6463
 2950  60.4054  30.3758
 2970  60.7717  30.1012
 2990  61.1487  29.9374
 3010  61.5121  29.6934
 3030  61.8296  29.434
 3050  62.0805  29.225
 3070  62.371  29.0486
 3090  62.5969  28.794
 3110  62.7673  28.5671
 3130  62.8227  28.3876
 3150  62.7438  28.2748
 3170  62.7527  28.6345
 3190  63.2585  29.1007
 3210  63.8883  29.0161
 3230  64.4161  28.8584
 3250  64.8073  28.6182
 3270  65.1777  28.4147
 3290  65.4499  28.1726
 3310  65.7286  27.9717
 3330  65.9524  27.8055
 3350  66.2397  27.6048
 3370  66.3962  27.3835
 3390  66.6101  27.2248
 3410  66.6662  27.0453
 3430  66.7039  26.942
 3450  66.8393  27.3119
 3470  67.491  27.3842
 3490  68.0899  27.1888
 3500  68.2076  26.6946
 3510  68.1432  26.9653
 3525  68.6034  26.4505
 3530  68.2377  26.8074
 3550  68.7985  26.2376
 3575  69.1331  25.9759
 3600  69.3219  25.7036
 3625  69.5128  25.4699
 3650  69.74  25.263
 3675  69.9318  24.9735
 3700  70.1176  24.7869
 3725  70.3036  24.5434
 3750  70.4896  24.3364
 3775  70.6594  24.1176
 3800  70.851  23.9182
 3825  71.0263  23.6982
 3850  71.1995  23.4602
 3875  71.3437  23.2566
 3900  71.4914  23.0176
 3925  71.6171  22.8426
 3950  71.7824  22.6342
 3975  71.9036  22.4153
 4000  72.0321  22.2106
 4025  72.14  22.0297
 4050  72.2775  21.8251
 4075  72.3878  21.6493
 4100  72.5151  21.4211
 4125  72.5934  21.2525
 4150  72.7285  21.0617
 4175  72.8069  20.8765
 4200  72.9477  20.672
 4225  73.095  20.5249
 4250  73.024  19.9608
 4275  72.9574  20.1983
 4300  73.1475  20.004
 4325  73.2516  19.8547
 4350  73.3425  19.6848
 4375  73.4118  19.4985
 4400  73.4766  19.3615
 4425  73.5459  19.1851
 4450  73.6228  19.0571
 4475  73.6765  18.8495
 4500  73.7173  18.7332
 4525  73.7802  18.5909
 4550  73.8478  18.4461
 4575  73.9081  18.3023
 4600  73.9683  18.1489
 4625  74.0144  18.0055
 4650  74.0696  17.8662
 4675  74.1148  17.7222
 4700  74.1592  17.5781
 4725  74.1972  17.4518
 4750  74.2458  17.3127
 4775  74.2828  17.183
 4800  74.3179  17.0391
 4825  74.3483  16.9293
 4850  74.3848  16.7905
 4875  74.4109  16.6807
 4900  74.4527  16.5631
 4925  74.4837  16.4367
 4950  74.5085  16.3147
 4975  74.5307  16.208
 5000  74.566  16.1014
 5025  74.5781  15.9729
 5050  74.6008  15.8991
 5075  74.6405  15.8027
 5100  74.6853  15.6929
 5125  74.7123  15.5839
 5150  74.7584  15.4881
 5175  74.7805  15.3559
 5200  74.8069  15.2512
 5225  74.8033  15.1364
 5250  74.7637  15.0179
 5275  74.801  15.0975
 5300  74.9356  14.9776
 5325  74.9931  14.8325
 5350  75.0219  14.7085
 5375  75.0398  14.5996
 5400  75.065  14.4883
 5425  75.0808  14.3893
 5450  75.102  14.2812
 5475  75.1135  14.1907
 5500  75.1432  14.097
 5525  75.1569  13.9917
 5550  75.1737  13.8946
 5575  75.1867  13.8103
 5600  75.2004  13.698
 5625  75.2064  13.6317
 5650  75.2295  13.5332
 5675  75.2389  13.4513
 5700  75.261  13.3645
 5725  75.2658  13.267
 5750  75.2765  13.1918
 5775  75.2815  13.1064
 5800  75.2996  13.0381
 5825  75.3048  12.949
 5850  75.3398  12.9025
 5875  75.3674  12.7883
 5900  75.4008  12.7016
 5925  75.3224  12.5255
 5950  75.3202  12.6069
 5975  75.3921  12.5599
 6000  75.3468  12.3979
 6097.05  75.454  12.0802
